PATIENT_ID,BIRTH_DATE,DEATH_DATE,SSN,DRIVERS_LICENSE,PASSPORT,PREFIX,FIRST_NAME,LAST_NAME,SUFFIX,MAIDEN_NAME,MARITAL_STATUS,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
P001,1955-03-12,,999-12-3456,S12345678,,Mr.,James,Wilson,,,,white,nonhispanic,M,Boston MA,123 Oak Street,Springfield,Massachusetts,Hampden,01103,42.1015,-72.5898,125000.50,95000.00,65000
P002,1968-07-24,,999-23-4567,S23456789,,Mrs.,Maria,Garcia,,Rodriguez,M,white,hispanic,F,Miami FL,456 Palm Avenue,Tampa,Florida,Hillsborough,33601,27.9506,-82.4572,89000.25,72000.00,55000
P003,1942-11-08,2024-08-15,999-34-5678,S34567890,,Mr.,Robert,Johnson,,,W,black,nonhispanic,M,Chicago IL,789 Maple Drive,Chicago,Illinois,Cook,60601,41.8781,-87.6298,245000.00,180000.00,42000
P004,1975-05-30,,999-45-6789,S45678901,,Ms.,Sarah,Chen,,,S,asian,nonhispanic,F,San Francisco CA,321 Pine Road,San Jose,California,Santa Clara,95101,37.3382,-121.8863,67000.75,55000.00,78000
P005,1988-09-15,,999-56-7890,S56789012,,Mr.,Michael,Brown,,,S,white,nonhispanic,M,Seattle WA,654 Cedar Lane,Portland,Oregon,Multnomah,97201,45.5152,-122.6784,45000.00,38000.00,92000
P006,1960-02-28,,999-67-8901,S67890123,,Mrs.,Linda,Martinez,,Sanchez,M,white,hispanic,F,Phoenix AZ,987 Birch Street,Tucson,Arizona,Pima,85701,32.2226,-110.9747,178000.50,145000.00,48000
P007,1950-08-20,,999-78-9012,S78901234,,Mr.,William,Anderson,,,M,white,nonhispanic,M,Denver CO,147 Elm Court,Denver,Colorado,Denver,80201,39.7392,-104.9903,312000.00,250000.00,38000
P008,1982-12-05,,999-89-0123,S89012345,,Ms.,Jennifer,Lee,,,S,asian,nonhispanic,F,New York NY,258 Spruce Way,Brooklyn,New York,Kings,11201,40.6892,-73.9857,52000.25,42000.00,85000
P009,1970-04-18,,999-90-1234,S90123456,,Mr.,David,Thompson,,,D,white,nonhispanic,M,Atlanta GA,369 Walnut Drive,Atlanta,Georgia,Fulton,30301,33.7490,-84.3880,145000.00,118000.00,62000
P010,1995-01-22,,999-01-2345,S01234567,,Ms.,Emily,Davis,,,S,black,nonhispanic,F,Dallas TX,741 Ash Boulevard,Houston,Texas,Harris,77001,29.7604,-95.3698,28000.50,22000.00,45000
P011,1958-06-10,,999-11-3456,S11345678,,Mr.,Richard,White,,,M,white,nonhispanic,M,Philadelphia PA,852 Oak Lane,Philadelphia,Pennsylvania,Philadelphia,19101,39.9526,-75.1652,198000.75,162000.00,52000
P012,1972-10-03,,999-22-4567,S22456789,,Mrs.,Patricia,Harris,,Jones,M,black,nonhispanic,F,Detroit MI,963 Maple Avenue,Detroit,Michigan,Wayne,48201,42.3314,-83.0458,135000.00,110000.00,58000
P013,1985-03-27,,999-33-5678,S33567890,,Mr.,Christopher,Martin,,,S,white,nonhispanic,M,Minneapolis MN,159 Pine Street,Minneapolis,Minnesota,Hennepin,55401,44.9778,-93.2650,48000.25,39000.00,72000
P014,1948-09-14,,999-44-6789,S44678901,,Mrs.,Barbara,Jackson,,Williams,W,white,nonhispanic,F,St. Louis MO,267 Cedar Road,St. Louis,Missouri,St. Louis City,63101,38.6270,-90.1994,285000.50,230000.00,35000
P015,1990-07-08,,999-55-7890,S55789012,,Ms.,Jessica,Taylor,,,S,white,hispanic,F,Las Vegas NV,378 Birch Lane,Las Vegas,Nevada,Clark,89101,36.1699,-115.1398,35000.00,28000.00,68000
P016,1963-01-25,,999-66-8901,S66890123,,Mr.,Thomas,Moore,,,M,asian,nonhispanic,M,Honolulu HI,489 Elm Street,Honolulu,Hawaii,Honolulu,96801,21.3069,-157.8583,156000.75,128000.00,55000
P017,1978-11-12,,999-77-9012,S77901234,,Mrs.,Nancy,Clark,,Brown,M,white,nonhispanic,F,Salt Lake City UT,591 Spruce Court,Salt Lake City,Utah,Salt Lake,84101,40.7608,-111.8910,98000.00,80000.00,64000
P018,1952-04-06,,999-88-0123,S88012345,,Mr.,Daniel,Lewis,,,M,black,nonhispanic,M,Baltimore MD,602 Walnut Way,Baltimore,Maryland,Baltimore City,21201,39.2904,-76.6122,225000.25,185000.00,41000
P019,1983-08-30,,999-99-1234,S99123456,,Ms.,Karen,Walker,,,S,white,nonhispanic,F,Nashville TN,713 Ash Drive,Nashville,Tennessee,Davidson,37201,36.1627,-86.7816,62000.50,50000.00,76000
P020,1967-12-19,,999-10-2345,S10234567,,Mr.,Mark,Hall,,,M,white,hispanic,M,San Diego CA,824 Oak Court,San Diego,California,San Diego,92101,32.7157,-117.1611,142000.00,115000.00,59000
P021,1945-05-02,,999-21-3456,S21345678,,Mrs.,Betty,Allen,,Miller,W,white,nonhispanic,F,Kansas City MO,935 Maple Boulevard,Kansas City,Missouri,Jackson,64101,39.0997,-94.5786,298000.75,242000.00,32000
P022,1992-02-14,,999-32-4567,S32456789,,Mr.,Steven,Young,,,S,asian,nonhispanic,M,Austin TX,146 Pine Lane,Austin,Texas,Travis,78701,30.2672,-97.7431,32000.00,26000.00,88000
P023,1976-06-28,,999-43-5678,S43567890,,Ms.,Donna,King,,,D,white,nonhispanic,F,Columbus OH,257 Cedar Avenue,Columbus,Ohio,Franklin,43201,39.9612,-82.9988,108000.25,88000.00,61000
P024,1959-10-21,,999-54-6789,S54678901,,Mr.,Paul,Wright,,,M,white,nonhispanic,M,Charlotte NC,368 Birch Road,Charlotte,North Carolina,Mecklenburg,28201,35.2271,-80.8431,175000.50,143000.00,54000
